 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
BHCS,FALSE,M5x30 BHCS,8,$0.04,$0.34,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M5x16 BHCS,32,$0.03,$0.83,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M5x10 BHCS,87,$0.02,$1.48,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M5x8 BHCS,55,$0.02,$1.01,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M4x20 BHCS,8,$0.02,$0.16,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M4x8 BHCS,4,$0.02,$0.09,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M3x25 BHCS,32,$0.01,$0.46,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M3x20 BHCS,16,$0.01,$0.19,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M3x12 BHCS,16,$0.01,$0.12,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M3x10 BHCS,32,$0.01,$0.23,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M3x8 BHCS,35,$0.01,$0.20,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M3x6 BHCS,63,$0.01,$0.33,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
SHCS,FALSE,M5x45 SHCS,4,$0.11,$0.44,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
SHCS,FALSE,M4x12 SHCS,6,$0.02,$0.12,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
SHCS,FALSE,M3x45 SHCS,14,$0.04,$0.57,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
SHCS,FALSE,M3x40 SHCS,3,$0.07,$0.21,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
SHCS,FALSE,M3x35 SHCS,2,$0.05,$0.09,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
SHCS,FALSE,M3x30 SHCS,12,$0.03,$0.34,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
SHCS,FALSE,M3x20 SHCS,64,$0.02,$1.17,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
SHCS,FALSE,M3x16 SHCS,4,$0.02,$0.10,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
SHCS,FALSE,M3x12 SHCS,4,$0.02,$0.08,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
SHCS,FALSE,M3x10 SHCS,20,$0.01,$0.22,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
